dataset,model,method,lambda_,shap_type,group,feature,mean_abs_shap,normalised_share,is_sensitive,is_proxy,sample_n,random_state
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,HourlyRate,0.034560682958050926,0.012803383054210839,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,JobInvolvement,0.0413340663328694,0.015312657018098821,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,JobLevel,0.0190966863324059,0.0070745763466733965,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,JobRole,0.1855073209614417,0.06872321627766007,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,JobSatisfaction,0.08997813417309414,0.03333338405724237,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,MaritalStatus,0.03715029087644086,0.013762731634781648,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,MonthlyIncome,0.16999341438114224,0.06297591988146586,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,MonthlyRate,0.03581758299686354,0.013269015422567193,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,NumCompaniesWorked,0.19730746323955117,0.07309470806398279,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,Over18,0.0,0.0,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,OverTime,0.42777832779045477,0.1584751609115724,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,PercentSalaryHike,0.01738842257368891,0.006441731350900978,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,PerformanceRating,0.0,0.0,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,RelationshipSatisfaction,0.1214231306887587,0.04498252698700013,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,StandardHours,0.0,0.0,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,StockOptionLevel,0.2980002368286598,0.11039744749818603,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,TotalWorkingYears,0.09016352471186478,0.033402064010279994,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,TrainingTimesLastYear,0.060102503497131685,0.022265629869781395,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,WorkLifeBalance,0.0778820140716985,0.02885224404864104,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,YearsAtCompany,0.0420377220363729,0.015573333970610745,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,YearsInCurrentRole,0.009401009207139526,0.0034827066965449328,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,YearsSinceLastPromotion,0.040766151634279754,0.015102266805700948,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,YearsWithCurrManager,0.1085717309327773,0.04022158536850438,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,Age,0.20504299653463665,0.07203641603001705,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,BusinessTravel,0.026175674969828,0.009196128830835296,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,DailyRate,0.05344247891926524,0.01877559687562059,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,Department,0.0,0.0,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,DistanceFromHome,0.11671506150951154,0.041004739834885985,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,Education,0.0014977106428783584,0.0005261808927219057,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,EducationField,0.024701527954373196,0.008678226393349354,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,EmployeeCount,0.0,0.0,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,EmployeeNumber,0.04165375035744165,0.014633939908560923,False,False,116,42
