dataset,accuracy_metric,fairness_metric,base_model,method,lambda_,seed_mean_accuracy,seed_mean_fairness,on_pareto_frontier
acs_income,accuracy,macro_eodds,RF,exp_gradient,0.1,0.8134285641274628,0.3633463303590375,False
acs_income,accuracy,macro_eodds,RF,exp_gradient,0.3,0.7896097922469527,0.4219369038012274,False
acs_income,accuracy,macro_eodds,RF,exp_gradient,1.0,0.778971711854445,0.4719090359797656,False
acs_income,accuracy,macro_eodds,RF,lfr,0.0,0.8131985792042522,0.3591357946077852,False
acs_income,accuracy,macro_eodds,RF,lfr,0.05,0.718509953236399,0.4516793630198886,False
acs_income,accuracy,macro_eodds,RF,lfr,0.1,0.712871489535686,0.4912736368941972,False
acs_income,accuracy,macro_eodds,RF,lfr,0.3,0.7010834845271254,0.46294831613811216,False
acs_income,accuracy,macro_eodds,RF,lfr,1.0,0.6748792579153144,0.4047991759888089,False
acs_income,accuracy,macro_eodds,RF,lfr,3.0,0.6324457618889429,0.37997446376714916,False
acs_income,accuracy,macro_eodds,RF,lfr,10.0,0.5849347098356885,0.20644601382227384,True
acs_income,accuracy,macro_eodds,RF,optim_preproc,0.0,0.8131985792042522,0.3591357946077852,False
acs_income,accuracy,macro_eodds,RF,reweighing,0.0,0.8131985792042522,0.3591357946077852,False
acs_income,accuracy,macro_eodds,RF,reweighing,0.05,0.8134886157463012,0.35765585978832154,True
acs_income,accuracy,macro_eodds,RF,reweighing,0.1,0.8134886157463012,0.35765585978832154,True
acs_income,accuracy,macro_eodds,RF,reweighing,0.3,0.8134886157463012,0.35765585978832154,True
acs_income,accuracy,macro_eodds,RF,reweighing,1.0,0.8134886157463012,0.35765585978832154,True
acs_income,accuracy,macro_eodds,RF,reweighing,3.0,0.8134886157463012,0.35765585978832154,True
acs_income,accuracy,macro_eodds,RF,reweighing,10.0,0.8134886157463012,0.35765585978832154,True
acs_income,accuracy,macro_eodds,RF,smote_nc,0.0,0.8131985792042522,0.3591357946077852,False
