dataset,target,model,metric,value,seed,mean,std,ci_lo,ci_hi,noise_std,target_form,n_classes,sample_n,random_state,notes
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.2699999999999999,1,,,,,-1.0,binary,2,30,1,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.21000000000000008,2,,,,,-1.0,binary,2,30,2,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.21000000000000008,3,,,,,-1.0,binary,2,30,3,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.15000000000000002,4,,,,,-1.0,binary,2,30,4,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.3599999999999999,5,,,,,-1.0,binary,2,30,5,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.3899999999999999,6,,,,,-1.0,binary,2,30,6,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.17999999999999994,7,,,,,-1.0,binary,2,30,7,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.29999999999999993,8,,,,,-1.0,binary,2,30,8,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.15000000000000002,9,,,,,-1.0,binary,2,30,9,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.32999999999999996,10,,,,,-1.0,binary,2,30,10,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.29999999999999993,11,,,,,-1.0,binary,2,30,11,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.29999999999999993,12,,,,,-1.0,binary,2,30,12,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.15000000000000002,13,,,,,-1.0,binary,2,30,13,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.12,14,,,,,-1.0,binary,2,30,14,
